Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Maculabatis gerrardi,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,1851,Divaricobothrium tribelum,Platyhelminthes,Cestoda,Rhinebothriidea,Anthocephaliidae,Divaricobothrium,2017
Dasyatis tortonesei,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,1975,Dollfusiella aculeata,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2004
Sympterygia acuta,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,1877,Dollfusiella acuta,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2015
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Dollfusiella aetobati,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1990
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatis,1790,Dollfusiella aetobati,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1990
Mustelus antarcticus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1870,Dollfusiella australis,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1969
Myliobatis australis,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1881,Dollfusiella bareldsi,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1990
Urobatis halleri,Chordata,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,1863,Dollfusiella cortezensis,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2005
Urobatis halleri,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae,Urolophus,1863,Dollfusiella cortezensis,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2005
Rhinobatos cemiculus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhinobatos,1817,Dollfusiella elongata,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2004
Chiloscyllium punctatum,Chordata,Elasmobranchii,Orectolobiformes,Hemiscylliidae,Chiloscyllium,1838,Dollfusiella imparispinis,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2013
Mustelus mento,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1877,Dollfusiella musteli,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1974
Rhina ancylostoma,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhina,1801,Dollfusiella nimai,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2019
Rhina ancylostoma,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhina,1801,Dollfusiella nimai,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,2019
Himantura uarnak,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,1789,Dollfusiella owensi,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1990
Himantura uarnak,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,1789,Dollfusiella owensi,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Dollfusiella,1990
